timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T21:34:35.536879,KXBTC-26APR0723-B71550,no,0.8900,0.9024,0.0139,1.27,0.42,KXBTC,71550.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:34:38.572049,KXBTC-26APR0723-B71550,no,0.8900,0.9024,0.0139,1.27,0.42,KXBTC,71550.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.05,early_loss
2026-04-07T21:34:52.400249,KXBTC-26APR0723-B71450,no,0.8500,0.8744,0.0287,3.66,0.42,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:34:52.401535,KXBTC-26APR0723-B71150,no,0.8900,0.9024,0.0139,1.27,0.42,KXBTC,71150.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.04,early_loss
2026-04-07T21:34:56.744043,KXBTC-26APR0723-B71150,no,0.8900,0.9024,0.0139,1.27,0.42,KXBTC,71150.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:34:41.345453,KXBTC-26APR0723-B71550,no,0.9000,0.9094,0.0104,1.05,0.42,KXBTC,71550.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.02,early_loss
2026-04-07T21:34:58.754930,KXBTC-26APR0723-B71150,no,0.9000,0.9094,0.0104,1.05,0.42,KXBTC,71150.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.05,early_loss
2026-04-07T21:35:14.534738,KXBTC-26APR0723-B71450,no,0.8600,0.8814,0.0249,3.44,0.41,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.14,early_loss
2026-04-07T21:35:14.535192,KXBTC-26APR0723-B71150,no,0.8700,0.8884,0.0211,3.18,0.41,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:35:15.025471,KXBTC-26APR0723-B71450,no,0.8600,0.8814,0.0249,3.44,0.41,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.14,early_loss
2026-04-07T21:35:15.026122,KXBTC-26APR0723-B71150,no,0.8700,0.8884,0.0211,3.18,0.41,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:35:09.811075,KXBTC-26APR0723-B71550,no,0.9000,0.9094,0.0104,1.05,0.41,KXBTC,71550.0,,2026-04-08T03:00:00Z,2,0,1,1,0.03,early_win
2026-04-07T21:35:15.072784,KXBTC-26APR0723-B71150,no,0.8700,0.8884,0.0211,3.18,0.41,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.19,early_loss
2026-04-07T21:35:27.119124,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.41,KXBTC,71450.0,71373.00,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:27.119208,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.41,KXBTC,71450.0,71373.00,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:31.711928,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.41,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:32.170881,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.41,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:32.179008,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.41,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.05,early_loss
2026-04-07T21:35:44.365275,KXBTC-26APR0723-B71450,no,0.8700,0.8884,0.0211,3.18,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:35:48.867232,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.40,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:35:48.868043,KXBTC-26APR0723-B71450,no,0.8700,0.8884,0.0211,3.18,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:35:49.282047,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.40,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:35:49.283538,KXBTC-26APR0723-B71450,no,0.8700,0.8884,0.0211,3.18,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:35:49.288444,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.40,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:36:01.616779,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:36:01.640614,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.40,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:36:06.136270,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:27.121430,KXBTC-26APR0723-B71050,no,0.9000,0.9094,0.0104,1.05,0.41,KXBTC,71050.0,71373.00,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:35:27.121634,KXBTC-26APR0723-B71050,no,0.9000,0.9094,0.0104,1.05,0.41,KXBTC,71050.0,71373.00,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:36:06.412947,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.40,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:36:18.527116,KXBTC-26APR0723-B71450,no,0.8800,0.8954,0.0175,2.89,0.39,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T21:36:34.948685,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.39,KXBTC,71150.0,71346.00,2026-04-08T03:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T21:36:35.888507,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.39,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T21:36:35.889239,KXBTC-26APR0723-B71450,no,0.8700,0.8884,0.0211,3.18,0.39,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T21:36:39.825035,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.39,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T21:36:40.216808,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.39,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T21:36:40.217839,KXBTC-26APR0723-B71450,no,0.8700,0.8884,0.0211,3.18,0.39,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T21:36:43.420767,KXBTC-26APR0723-B71150,no,0.8500,0.8744,0.0287,3.66,0.39,KXBTC,71150.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:36:52.409363,KXBTC-26APR0723-B71450,no,0.8800,0.8954,0.0175,2.89,0.39,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T21:36:52.978279,KXBTC-26APR0723-B71450,no,0.8800,0.8954,0.0175,2.89,0.39,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:36:57.541686,KXBTC-26APR0723-B71450,no,0.8800,0.8954,0.0175,2.89,0.38,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T21:37:09.738446,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.38,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:37:10.164120,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.38,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.05,early_loss
2026-04-07T21:37:18.765697,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.38,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:37:26.918727,KXBTC-26APR0723-B71450,no,0.8900,0.9024,0.0139,1.27,0.38,KXBTC,71450.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
